starttime,stoptime,ss_lat,ss_long,es_lat,es_long
2013-07-01T00:31:43,2013-07-01T00:37:43,40.746647,-73.993915,40.73935542,-73.99931783
2013-07-01T00:31:49,2013-07-01T00:47:32,40.74177603,-74.00149746,40.73535398,-74.00483091
2013-07-01T00:32:00,2013-07-01T01:03:13,40.70255065,-74.0127234,40.680342423,-73.9557689392
2013-07-01T00:32:07,2013-07-01T00:45:34,40.72299208,-73.97995466,40.7158155,-73.99422366
2013-07-01T00:32:41,2013-07-01T00:49:21,40.72710258,-74.00297088,40.72710258,-74.00297088
2013-07-01T00:32:42,2013-07-01T00:35:46,40.73049393,-73.9957214,40.72679454,-73.99695094
2013-07-01T00:32:55,2013-07-01T00:47:54,40.71743998,-74.00583475,40.72740794,-73.98142006
2013-07-01T00:34:12,2013-07-01T00:39:03,40.73587678,-73.98205027,40.74315566,-73.97434726
2013-07-01T00:34:15,2013-07-01T00:41:01,40.72903917,-73.99404649,40.76019252,-73.9912551
2013-07-01T00:35:25,2013-07-01T00:56:09,40.74144387,-73.97536082,40.751551,-73.993934
2013-07-01T00:35:29,2013-07-01T00:49:32,40.75466591,-73.99138152,40.75044999,-73.99481051
2013-07-01T00:35:38,2013-07-01T00:50:12,40.75466591,-73.99138152,40.75044999,-73.99481051
2013-07-01T00:36:06,2013-07-01T00:50:30,40.724399,-74.004704,40.73912601,-73.97973776
2013-07-01T00:36:15,2013-07-01T00:39:34,40.76095756,-73.96724467,40.76095756,-73.96724467
2013-07-01T00:36:20,2013-07-01T00:40:25,40.73401143,-74.00293877,40.7405826,-74.00550867
2013-07-01T00:36:35,2013-07-01T00:41:28,40.73047309,-73.98672378,40.71910537,-73.99973337
2013-07-01T00:36:56,2013-07-01T00:47:59,40.72679454,-73.99695094,40.70955958,-74.00653609
2013-07-01T00:37:10,2013-07-01T00:41:16,40.73047309,-73.98672378,40.72955361,-73.98057249
2013-07-01T00:37:23,2013-07-01T00:48:07,40.7457121,-73.98194829,40.711512,-74.015756
2013-07-01T00:37:33,2013-07-01T00:41:44,40.74394314,-73.97966069,40.73912601,-73.97973776
2013-07-01T00:37:50,2013-07-01T00:46:19,40.72521311,-73.97768752,40.71850211,-73.98329859
2013-07-01T00:38:15,2013-07-01T00:46:48,40.72521311,-73.97768752,40.71850211,-73.98329859
2013-07-01T00:38:16,2013-07-01T00:46:08,40.72066442,-73.98517977,40.76727216,-73.99392888
2013-07-01T00:38:32,2013-07-01T00:48:20,40.7462009,-73.98855723,40.75323098,-73.97032517
2013-07-01T00:38:33,2013-07-01T00:47:13,40.75660359,-73.9979009,40.749156,-73.9916
2013-07-01T00:38:36,2013-07-01T00:46:22,40.72521311,-73.97768752,40.71850211,-73.98329859
2013-07-01T00:38:58,2013-07-01T01:02:58,40.73416059,-73.98024289,40.73416059,-73.98024289
2013-07-01T00:39:07,2013-07-01T01:08:04,40.76095756,-73.96724467,40.75934501,-73.96759673
2013-07-01T00:39:11,2013-07-01T00:48:25,40.72453734,-73.98185424,40.76344058,-73.98268129
2013-07-01T00:39:23,2013-07-01T01:27:25,40.70277159,-73.99383605,40.71273266,-74.0046073
2013-07-01T00:39:34,2013-07-01T00:48:30,40.7462009,-73.98855723,40.76344058,-73.98268129
2013-07-01T00:40:07,2013-07-01T00:51:53,40.74780373,-73.9734419,40.76269882,-73.99301222
2013-07-01T00:40:23,2013-07-01T00:54:59,40.73416059,-73.98024289,40.72299208,-73.97995466
2013-07-01T00:40:29,2013-07-01T00:55:38,40.73416059,-73.98024289,40.72299208,-73.97995466
2013-07-01T00:40:43,2013-07-01T00:55:05,40.76020258,-73.96478473,40.72955361,-73.98057249
2013-07-01T00:40:58,2013-07-01T00:51:17,40.72903917,-73.99404649,40.73416059,-73.98024289
2013-07-01T00:41:03,2013-07-01T00:47:13,40.7403432,-73.98955109,40.72903917,-73.99404649
2013-07-01T00:41:09,2013-07-01T00:52:41,40.71336124,-74.00937622,40.7457121,-73.98194829
2013-07-01T00:41:15,2013-07-01T00:44:47,40.74290902,-73.97706058,40.73912601,-73.97973776
2013-07-01T00:41:38,2013-07-01T01:25:23,40.70277159,-73.99383605,40.71273266,-74.0046073
2013-07-01T00:41:42,2013-07-01T00:56:50,40.74317449,-74.00366443,40.7546011026,-73.971878855
2013-07-01T00:41:53,2013-07-01T00:53:35,40.73935542,-73.99931783,40.72740794,-73.98142006
2013-07-01T00:42:36,2013-07-01T01:05:30,40.73912601,-73.97973776,40.71044554,-73.96525063
2013-07-01T00:42:42,2013-07-01T00:52:30,40.724399,-74.004704,40.7457121,-73.98194829
2013-07-01T00:42:46,2013-07-01T01:05:59,40.71273266,-74.0046073,40.71754834,-74.01322069
2013-07-01T00:42:53,2013-07-01T01:05:00,40.73047747,-73.99906065,40.76030096,-73.99884222
2013-07-01T00:43:06,2013-07-01T00:50:27,40.74691959,-74.00451887,40.74487634,-73.99529885
2013-07-01T00:43:48,2013-07-01T01:05:48,40.71273266,-74.0046073,40.71754834,-74.01322069
